Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C19, C2, C4",0603,5,100nF,
"C10, C12, C13",0603,3,1uF,
"C16, C18, C3",0805,3,4.7uF,
C6,0402,1,10nF,
IC1,SOT95P280X145-5N,1,TLV77333PDBVR,
J2,GSB1C41110SSHR,1,GSB1C41110SSHR,
J3,PogoPin_01x04,1,Conn_01x04_Pin,
J4,AMPHENOL_103R012BB100,1,103R012BB100,
"LED1, LED10, LED11, LED12, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",XINGLIGHT XL-1515RGBC-WS2812B,12,WS2812B,
Q1,SOT65P210X110-6N,1,"BC847BS,115",
R1,0402,1,2.2k,
R3,0402,1,10k,
"R4, R5",0603,2,10,
"S1, S10, S11, S12, S2, S3, S4, S5, S6, S7, S8, S9",Kailh_socket_MX_optional,12,Keyswitch,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411C_C-E_Ux,
Y2,AbraconASDDV,1,ASDDV-16.000MHZ-LR-T,
