Designator,Mid X,Mid Y,Rotation,Layer
C1,194.0,-91.2,0.0,bottom
C10,205.35,-91.45,0.0,bottom
C11,205.35,-89.95,0.0,bottom
C12,171.8,-89.0,90.0,bottom
C13,177.0,-88.0,270.0,bottom
C16,140.8,-80.0,90.0,bottom
C18,200.45,-93.35,0.0,bottom
C19,203.25,-81.75,0.0,bottom
C2,191.75,-83.2,0.0,bottom
C3,181.3,-84.4,180.0,bottom
C4,210.8,-86.0,0.0,bottom
C6,215.7,-103.68,270.0,bottom
IC1,174.4,-88.4,90.0,bottom
J2,180.76,-105.55,0.0,bottom
J3,189.955,-89.55,180.0,top
J4,140.8,-80.0,90.0,top
LED1,209.7,-104.1,180.0,top
LED10,152.5,-104.1,180.0,top
LED11,152.5,-85.1,180.0,top
LED12,152.5,-66.0,180.0,top
LED2,209.7,-85.0,180.0,top
LED3,209.7,-66.0,180.0,top
LED4,190.6,-104.1,180.0,top
LED5,190.6,-85.1,180.0,top
LED6,190.6,-66.0,180.0,top
LED7,171.6,-104.1,180.0,top
LED8,171.6,-85.0,180.0,top
LED9,171.6,-66.0,180.0,top
Q1,213.45,-104.8,0.0,bottom
R1,210.1,-106.4,180.0,bottom
R3,211.1,-104.4,90.0,bottom
R4,192.125,-85.25,0.0,bottom
R5,192.125,-86.75,0.0,bottom
S1,209.015,-98.8715,180.0,top
S10,151.865,-98.8715,180.0,top
S11,151.865,-79.8215,180.0,top
S12,151.865,-60.7715,180.0,top
S2,209.015,-79.8215,180.0,top
S3,209.015,-60.7715,180.0,top
S4,189.965,-98.8715,180.0,top
S5,189.965,-79.8215,180.0,top
S6,189.965,-60.7715,180.0,top
S7,170.915,-98.8715,180.0,top
S8,170.915,-79.8215,180.0,top
S9,170.915,-60.7715,180.0,top
U2,199.7,-87.0125,90.0,bottom
Y2,207.213,-87.612,0.0,bottom
