Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103",0603,3,100nF,
"C104, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143",0402,35,10nF,
C105,0603,1,1uF,
"C106, C107",0603,2,2uF,
"C108, C109",0805,2,Sampling,
J101,PogoPin_01x04 wout holes,1,Conn_01x04_Pin,
J102,TSL_5,1,Conn_01x05_Pin,
J103,AMPHENOL_103P012BB100,1,103P012BB100,
"LED101, LED102, LED103, LED104, LED105, LED106, LED107, LED108, LED109, LED110, LED111, LED112, LED113, LED114, LED115, LED116, LED117, LED118, LED119, LED120, LED121, LED122, LED123, LED124, LED125, LED126, LED127, LED128, LED129, LED130, LED131, LED132",XINGLIGHT XL-1515RGBC-WS2812B,32,WS2812B,
Q101,SOT65P210X110-6N,1,"BC847BS,115",
"R101, R102",0402,2,2.2k,
"R103, R104",0402,2,10k,
U102,LQFP-48_7x7mm_P0.5mm,1,STM32F334C8Tx,
