Designator,Mid X,Mid Y,Rotation,Layer
C101,86.1,-95.35,270.0,bottom
C102,78.5,-96.725,180.0,bottom
C103,74.7,-87.432928,270.0,bottom
C104,82.8,-82.1,0.0,bottom
C105,82.7,-84.225,0.0,bottom
C106,94.1,-83.182928,90.0,top
C107,95.6,-83.182928,90.0,top
C108,86.3,-85.675,90.0,bottom
C109,87.825,-93.425,270.0,bottom
C110,93.4,-57.6,270.0,bottom
C111,75.78,-59.7,0.0,top
C112,75.78,-55.9,0.0,top
C113,75.78,-63.5,0.0,top
C114,75.78,-67.3,0.0,top
C115,75.78,-71.1,0.0,top
C116,75.78,-74.9,0.0,top
C117,75.78,-78.7,0.0,top
C118,75.78,-82.5,0.0,top
C119,75.78,-86.3,0.0,top
C120,75.78,-90.1,0.0,top
C121,75.78,-93.9,0.0,top
C122,75.78,-97.7,0.0,top
C123,75.78,-101.5,0.0,top
C124,75.78,-105.3,0.0,top
C125,75.78,-109.1,0.0,top
C126,75.78,-112.9,0.0,top
C127,90.33,-55.9,0.0,top
C128,90.33,-59.7,0.0,top
C129,90.33,-63.5,0.0,top
C130,90.33,-67.3,0.0,top
C131,90.33,-71.1,0.0,top
C132,90.33,-74.9,0.0,top
C133,90.33,-78.7,0.0,top
C134,90.33,-82.5,0.0,top
C135,90.33,-86.3,0.0,top
C136,90.33,-90.1,0.0,top
C137,90.33,-93.9,0.0,top
C138,90.33,-97.7,0.0,top
C139,90.33,-101.5,0.0,top
C140,90.33,-105.3,0.0,top
C141,90.33,-109.1,0.0,top
C142,90.33,-112.9,0.0,top
C143,95.3,-62.9,90.0,bottom
J101,77.3,-83.925,90.0,bottom
J102,83.0,-76.25,90.0,top
J103,94.7,-83.182928,270.0,bottom
LED101,75.7,-54.45,0.0,top
LED102,75.7,-58.25,0.0,top
LED103,75.7,-62.05,0.0,top
LED104,75.7,-65.85,0.0,top
LED105,75.7,-69.65,0.0,top
LED106,75.7,-73.45,0.0,top
LED107,75.7,-77.25,0.0,top
LED108,75.7,-81.05,0.0,top
LED109,75.7,-84.85,0.0,top
LED110,75.7,-88.65,0.0,top
LED111,75.7,-92.45,0.0,top
LED112,75.7,-96.25,0.0,top
LED113,75.7,-100.05,0.0,top
LED114,75.7,-103.85,0.0,top
LED115,75.7,-107.65,0.0,top
LED116,75.7,-111.45,0.0,top
LED117,90.25,-54.45,0.0,top
LED118,90.25,-58.25,0.0,top
LED119,90.25,-62.05,0.0,top
LED120,90.25,-65.85,0.0,top
LED121,90.25,-69.65,0.0,top
LED122,90.25,-73.45,0.0,top
LED123,90.25,-77.25,0.0,top
LED124,90.25,-81.05,0.0,top
LED125,90.25,-84.85,0.0,top
LED126,90.25,-88.65,0.0,top
LED127,90.25,-92.45,0.0,top
LED128,90.25,-96.25,0.0,top
LED129,90.25,-100.05,0.0,top
LED130,90.25,-103.85,0.0,top
LED131,90.25,-107.65,0.0,top
LED132,90.25,-111.45,0.0,top
Q101,94.35,-60.25,90.0,bottom
R101,94.35,-62.9,90.0,bottom
R102,94.35,-57.6,90.0,bottom
R103,93.4,-62.9,90.0,bottom
R104,95.3,-57.6,90.0,bottom
U102,81.5375,-90.575,180.0,bottom
